Artist,Album,Year,Genres,Tracks,Duration,Type,File Size,Artwork
ABBA,Gold: Greatest Hits,1992,Pop/Rock,19,1h 17m,WAV,779.58 MB,https://coverartarchive.org/release-group/b69d665a-3eee-39f3-b156-58b122232304/front-500
Ace of Base,The Sign,1993,Pop/Rock,12,45m,WAV,462.33 MB,https://coverartarchive.org/release-group/d345547c-75a7-321d-818c-75daf0499a7b/front-500
Alan Jackson,A Lot About Livin’ (and a Little ’Bout Love),1992,Country,10,31m,WAV,317.10 MB,https://coverartarchive.org/release-group/9848f98a-2989-3a7f-b7ac-87b37fe1a479/front-500
Barenaked Ladies,Rock Spectacle,1996,Pop/Rock,11,49m,WAV,495.77 MB,https://coverartarchive.org/release-group/b3abbdb1-b14e-3200-a0c8-33895fcb6c70/front-500
Brooks & Dunn,#1s... And Then Some,2009,Country,30,1h 52m,WAV,1.11 GB,https://coverartarchive.org/release-group/ba0446e1-8a15-4f1e-a704-5b16cc9a17bc/front-500
CAKE,Prolonging the Magic,1998,Pop/Rock,13,48m,WAV,487.65 MB,https://coverartarchive.org/release-group/34cc7616-0e7e-34aa-a42d-bc9c17755f18/front-500
Counting Crows,August and Everything After,1993,Pop/Rock,11,51m,WAV,522.92 MB,https://coverartarchive.org/release-group/7c2e8889-0050-3b1f-862f-60d1a8f2cf74/front-500
Céline Dion,Falling Into You,1996,Pop/Rock,14,1h 7m,WAV,678.64 MB,https://coverartarchive.org/release-group/4323e5bd-053e-316d-a99a-acb6f73fea68/front-500
Eve 6,Eve 6,1998,Pop/Rock,11,38m,WAV,388.57 MB,https://coverartarchive.org/release-group/4bf88f7e-bac3-34ab-9cd6-bb630d5d2ea2/front-500
Everclear,So Much for the Afterglow,1997,Pop/Rock,13,48m,WAV,492.49 MB,https://coverartarchive.org/release-group/96d3cb49-83fd-3c94-9dd3-ea930c0ba1b6/front-500
Flogging Molly,Alive Behind the Green Door,1997,Pop/Rock,10,46m,WAV,468.34 MB,https://coverartarchive.org/release-group/d769c9ce-9314-3703-81cf-5f562fa19fca/front-500
Geoff Moore & the Distance,Evolution,1993,Religious,10,43m,WAV,437.77 MB,https://coverartarchive.org/release-group/418d0b1e-2d2e-319d-a5d5-ae288c5a465b/front-500
Gin Blossoms,Congratulations I’m Sorry,1996,Pop/Rock,13,45m,WAV,461.98 MB,https://coverartarchive.org/release-group/3125bc96-5c9c-3d67-a23e-9b8aca91ec08/front-500
Jars of Clay,If I Left the Zoo,1999,"Pop/Rock, Religious",11,42m,WAV,433.85 MB,https://coverartarchive.org/release-group/1ba88ba8-748f-4f85-9339-55ce4edcbc5e/front-500
Jars of Clay,Jars of Clay,1995,"Pop/Rock, Religious",10,1h 5m,WAV,663.07 MB,https://coverartarchive.org/release-group/032b2f03-0a5e-3298-b02d-b54f0a40271e/front-500
Jars of Clay,Much Afraid,1997,"Pop/Rock, Religious",11,46m,WAV,465.49 MB,https://coverartarchive.org/release-group/2b5dd6b6-93c3-3422-adf7-c6d3f083a6ff/front-500
Journey,Greatest Hits,1988,Pop/Rock,16,1h 5m,WAV,662.43 MB,https://coverartarchive.org/release-group/1cdc94f2-7011-37ab-a068-75c41e01c9ed/front-500
Lifehouse,No Name Face,2000,Pop/Rock,12,55m,WAV,558.84 MB,https://coverartarchive.org/release-group/ae76bd62-2ca4-3665-a061-9674a6397998/front-500
Live,The Distance to Here,1999,Pop/Rock,13,56m,WAV,567.01 MB,https://coverartarchive.org/release-group/0007a8c6-1c8d-356e-bb80-adad2b150894/front-500
Live,Throwing Copper,1994,Pop/Rock,14,59m,WAV,601.54 MB,https://coverartarchive.org/release-group/9f31404b-49d0-365e-935d-cb040b762abf/front-500
Matchbox Twenty,Mad Season,2000,Pop/Rock,13,1h 0m,WAV,610.70 MB,/library/metadata/5901/thumb/1783644555
Matchbox Twenty,Yourself or Someone Like You,1996,Pop/Rock,12,46m,WAV,473.05 MB,/library/metadata/5888/thumb/1783644554
Michael W. Smith,Go West Young Man,1990,"Pop/Rock, Religious",10,43m,WAV,436.53 MB,https://coverartarchive.org/release-group/c77e3395-faf8-330f-9d3e-8c7e0cf944aa/front-500
Montgomery Gentry,My Town,2002,"Country, Pop/Rock",13,49m,WAV,504.99 MB,https://coverartarchive.org/release-group/2ee22767-3de8-3127-b3ec-d98e5c4b4cf5/front-500
Norah Jones,Come Away With Me,2002,Jazz,14,45m,WAV,456.24 MB,https://coverartarchive.org/release-group/7ea0336b-fcbe-4621-b377-347a5c2387c0/front-500
